Column Name,Datatype,Size,Units,ObsCoreDM Utype,UCD,Principal,Index,Std
dataproduct_type,adql:VARCHAR,TBD,NULL,ObsDataset.dataProductType,meta.id,1,TBD,1
calib_level,adql:INTEGER,NULL,NULL,ObsDataset.calibLevel,meta.code;obs.calib,1,TBD,1
obs_collection,adql:VARCHAR,TBD,NULL,DataID.collection,meta.id,1,TBD,1
obs_id,adql:VARCHAR,TBD,NULL,DataID.observationID,meta.id,1,TBD,1
obs_publisher_did,adql:VARCHAR,TBD,NULL,Curation.publisherDID,meta.ref.uri;meta.curation,1,TBD,1
access_url,adql:CLOB,NULL,NULL,Access.reference,meta.ref.url,1,0,1
access_format,adql:VARCHAR,NULL,NULL,Access.format,meta.code.mime,1,0,1
access_estsize,adql:BIGINT,NULL,kbyte,Access.size,phys.size;meta.file,1,0,1
target_name,adql:VARCHAR,TBD,NULL,Target.name,meta.id;src,1,0,1
s_ra,adql:DOUBLE,NULL,deg,Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C1,pos.eq.ra,1,0,1
s_dec,adql:DOUBLE,NULL,deg,Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C2,pos.eq.dec,1,0,1
s_fov,adql:DOUBLE,NULL,deg,Char.SpatialAxis.Coverage.Bounds.Extent.diameter,phys.angSize;instr.fov,1,0,1
s_region,adql:REGION,NULL,,Char.SpatialAxis.Coverage.Support.Area,pos.outline;obs.field,1,0,1
s_resolution,adql:DOUBLE,NULL,arcsec,Char.SpatialAxis.Resolution.Refval.value,pos.angResolution,1,TBD,1
s_xel1,adql:BIGINT,NULL,NULL,Char.SpatialAxis.numBins1,meta.number,1,TBD,1
s_xel2,adql:BIGINT,NULL,NULL,Char.SpatialAxis.numBins2,meta.number,1,TBD,1
t_min,adql:DOUBLE,NULL,d,Char.TimeAxis.Coverage.Bounds.Limits.StartTime,time.start;obs.exposure,1,0,1
t_max,adql:DOUBLE,NULL,d,Char.TimeAxis.Coverage.Bounds.Limits.StopTime,time.end;obs.exposure,1,0,1
t_exptime,adql:DOUBLE,NULL,s,Char.TimeAxis.Coverage.Support.Extent,time.duration;obs.exposure,1,TBD,1
t_resolution,adql:DOUBLE,NULL,s,Char.TimeAxis.Resolution.Refval.value,time.resolution,1,0,1
t_xel,adql: BIGINT,NULL,NULL,Char.TimeAxis.numBins,meta.number,1,TBD,1
em_min,adql:DOUBLE,NULL,m,Char.SpectralAxis.Coverage.Bounds.Limits.LoLimit,em.wl;stat.min,1,0,1
em_max,adql:DOUBLE,NULL,m,Char.SpectralAxis.Coverage.Bounds.Limits.HiLimit,em.wl;stat.max,1,0,1
em_res_power,adql:DOUBLE,NULL,NULL,Char.SpectralAxis.Resolution.ResolPower.refVal,spect.resolution,1,TBD,1
em_xel,adql: BIGINT,NULL,NULL,Char.SpectralAxis.numBins,meta.number,1,TBD,1
o_ucd,adql:VARCHAR,TBD,NULL,Char.ObservableAxis.ucd,meta.ucd,1,0,1
pol_states,adql:VARCHAR,TBD,NULL,Char.PolarizationAxis.stateList,meta.code;phys.polarization,1,0,1
pol_xel,adql: BIGINT,NULL,NULL,Char.PolarizationAxis.numBins,meta.number,1,TBD,1
facility_name,adql:VARCHAR,NULL,NULL,Provenance.ObsConfig.Facility.name,meta.id;instr.tel ,1,TBD,1
Instrument_name,adql:VARCHAR,NULL ,NULL,Provenance.ObsConfig.Instrument.name,meta.id;instr,1,TBD,1
